,data,res
0,1001477154436,100
1,1001477154442,100
2,1001477154448,100
3,1001477154454,100
4,1001477154460,100
5,1001477154466,100
6,1001477154472,100
7,1001477154478,100
8,1001477154484,100
9,1001477154490,100
10,1001477154496,100
11,1001477154502,100
12,1001477154508,100
13,1001477154514,100
14,1001477154520,100
15,1001477154526,100
16,1001477154532,100
17,1001477154538,100
18,1001477154550,100
19,1001477154556,100
20,1001477154562,100
21,1001477154568,100
22,1001477154574,100
23,1001477154580,100
24,1001477154586,100
25,1001477154592,100
26,1001477154598,100
27,1001477154604,100
28,1001477154610,100
29,1001477154622,100
30,1001477154628,100
31,1001477154634,100
32,1001477154640,100
33,1001477154646,100
34,1001477154652,100
35,1001477154658,100
36,1001477154664,100
37,1001477154670,100
38,1001477154676,100
39,1001477154682,100
40,1001477154688,100
41,1001477154694,100
42,1001477154700,100
43,1001477154706,100
44,1001477154712,100
45,1001477154718,100
46,1001477154724,100
47,1001477154730,100
48,1001477154736,100
49,1001477154742,100
50,1001477154748,100
51,1001477154754,100
52,1001477154760,100
53,1001477154766,100
54,1001477154772,100
55,1001477154778,100
56,1001477154784,100
57,1001477154790,100
58,1001477154796,100
59,1001477154874,100
60,1001477154880,100
61,1001477154886,100
62,1001477154892,100
63,1001477154898,100
64,1001477154904,100
65,1001477154910,100
66,1001477154916,100
67,1001477154922,100
68,1001477154928,100
69,1001477154934,100
70,1001477154940,100
71,1001477154946,100
72,1001477154952,100
73,1001477154958,100
74,1001477154964,100
75,1001477154970,100
76,1001477154976,100
77,1001477154982,100
78,1001477154988,100
79,1001477154994,100
80,1001477155000,100
81,1001477155006,100
82,1001477155012,100
83,1001477155018,100
84,1001477155024,100
85,1001477155030,100
86,1001477155036,100
87,1001477155042,100
88,1001477155048,100
89,1001477155054,100
90,1001477155186,100
91,1001477155192,100
92,1001477155198,100
93,1001477155204,100
94,1001477155210,100
95,1001477155216,100
96,1001477155222,100
97,1001477155228,100
98,1001477155234,100
99,1001477155240,100
100,1001477155246,100
101,1001477155252,100
102,1001477155258,100
103,1001477155264,100
104,1001477155270,100
105,1001477155276,100
106,1001477155282,100
107,1001477155288,100
108,1001477155294,100
109,1001477155300,100
110,1001477155306,100
111,1001477155312,100
112,1001477155318,100
113,1001477155324,100
114,1001477155330,100
115,1001477155336,100
116,1001477155342,100
117,1001477155348,100
118,1001477155354,100
119,1001477155360,100
120,1001477194624,100
121,1001477194630,100
122,1001477194636,100
123,1001477194642,100
124,1001477194648,100
125,1001477194654,100
126,1001477194660,100
127,1001477194666,100
128,1001477194672,100
129,1001477194678,100
130,1001477194684,100
131,1001477194690,100
132,1001477194696,100
133,1001477194702,100
134,1001477194708,100
135,1001477194714,100
136,1001477194720,100
137,1001477194726,100
138,1001477194732,100
139,1001477194738,100
140,1001477194744,100
141,1001477194750,100
142,1001477194756,100
143,1001477194762,100
144,1001477194768,100
145,1001477194774,100
146,1001477194780,100
147,1001477194786,100
148,1001477194792,100
149,1001477194798,100
150,1001477194810,100
151,1001477194816,100
152,1001477194822,100
153,1001477194828,100
154,1001477194834,100
155,1001477194840,100
156,1001477194846,100
157,1001477194852,100
158,1001477194858,100
159,1001477194864,100
160,1001477194870,100
161,1001477194876,100
162,1001477194882,100
163,1001477194888,100
164,1001477194894,100
165,1001477194900,100
166,1001477194906,100
167,1001477194912,100
168,1001477194918,100
169,1001477194924,100
170,1001477194930,100
171,1001477194936,100
172,1001477194942,100
173,1001477194948,100
174,1001477194954,100
175,1001477194960,100
176,1001477194966,100
177,1001477194972,100
178,1001477194978,100
179,1001477194984,100
180,1001477195020,100
181,1001477195026,100
182,1001477195032,100
183,1001477195038,100
184,1001477195044,100
185,1001477195050,100
186,1001477195056,100
187,1001477195062,100
188,1001477195068,100
189,1001477195074,100
190,1001477195080,100
191,1001477195086,100
192,1001477195092,100
193,1001477195098,100
194,1001477195104,100
195,1001477195110,100
196,1001477195116,100
197,1001477195122,100
198,1001477195128,100
199,1001477195134,100
200,1001477195140,100
201,1001477195146,100
202,1001477195152,100
203,1001477195158,100
204,1001477195164,100
205,1001477195170,100
206,1001477195176,100
207,1001477195182,100
208,1001477195188,100
209,1001477195194,100
210,1001477195200,100
211,1001477195212,100
212,1001477195218,100
213,1001477195224,100
214,1001477195230,100
215,1001477195236,100
216,1001477195242,100
217,1001477195248,100
218,1001477195254,100
219,1001477195260,100
220,1001477195266,100
221,1001477195272,100
222,1001477195278,100
223,1001477195284,100
224,1001477195290,100
225,1001477195296,100
226,1001477195302,100
227,1001477195308,100
228,1001477195314,100
229,1001477195320,100
230,1001477195326,100
231,1001477195332,100
232,1001477195338,100
233,1001477195344,100
234,1001477195350,100
235,1001477195356,100
236,1001477195362,100
237,1001477195368,100
238,1001477195374,100
239,1001477195380,100
240,1001477195386,100
241,1001477195404,100
242,1001477195410,100
243,1001477195416,100
244,1001477195422,100
245,1001477195428,100
246,1001477195434,100
247,1001477195440,100
248,1001477195446,100
249,1001477195452,100
250,1001477195458,100
251,1001477195464,100
252,1001477195470,100
253,1001477195476,100
254,1001477195482,100
255,1001477195488,100
256,1001477195494,100
257,1001477195500,100
258,1001477195506,100
259,1001477195512,100
260,1001477195518,100
261,1001477195524,100
262,1001477195530,100
263,1001477195536,100
264,1001477195542,100
265,1001477195548,100
266,1001477195554,100
267,1001477195560,100
268,1001477195566,100
269,1001477195572,100
270,1001477195578,100
271,1001477195596,100
272,1001477195602,100
273,1001477195608,100
274,1001477195614,100
275,1001477195620,100
276,1001477195626,100
277,1001477195632,100
278,1001477195638,100
279,1001477195644,100
280,1001477195650,100
281,1001477195656,100
282,1001477195662,100
283,1001477195668,100
284,1001477195674,100
285,1001477195680,100
286,1001477195686,100
287,1001477195692,100
288,1001477195698,100
289,1001477195704,100
290,1001477195710,100
291,1001477195716,100
292,1001477195722,100
293,1001477195728,100
294,1001477195734,100
295,1001477195740,100
296,1001477195746,100
297,1001477195752,100
298,1001477195758,100
299,1001477195764,100
300,1001477195770,100
301,1001477279578,100
302,1001477279590,100
303,1001477279596,100
304,1001477279602,100
305,1001477279608,100
306,1001477279614,100
307,1001477279620,100
308,1001477279626,100
309,1001477279806,100
310,1001477279812,100
311,1001477279818,100
312,1001477279824,100
313,1001477279830,100
314,1001477279836,100
315,1001477279842,100
316,1001477279848,100
317,1001477279854,100
318,1001477279860,100
319,1001477279866,100
320,1001477279872,100
321,1001477279878,100
322,1001477279884,100
323,1001477279890,100
324,1001477279896,100
325,1001477279902,100
326,1001477279908,100
327,1001477279914,100
328,1001477279920,100
329,1001477279926,100
330,1001477279932,100
331,1001477279938,100
332,1001477279944,100
333,1001477279950,100
334,1001477279956,100
335,1001477279962,100
336,1001477279968,100
337,1001477279974,100
338,1001477279980,100
339,1001477280010,100
340,1001477280016,100
341,1001477280022,100
342,1001477280028,100
343,1001477280034,100
344,1001477280040,100
345,1001477280046,100
346,1001477280052,100
347,1001477280058,100
348,1001477280064,100
349,1001477280070,100
350,1001477280076,100
351,1001477280082,100
352,1001477280088,100
353,1001477280094,100
354,1001477280100,100
355,1001477280106,100
356,1001477280112,100
357,1001477280118,100
358,1001477280124,100
359,1001477280130,100
360,1001477280136,100
361,1001477280142,100
362,1001477280148,100
363,1001477280154,100
364,1001477280160,100
365,1001477280166,100
366,1001477280172,100
367,1001477280178,100
368,1001477280184,100
369,1001477280226,100
370,1001477280232,100
371,1001477280238,100
372,1001477280244,100
373,1001477280250,100
374,1001477280256,100
375,1001477280262,100
376,1001477280268,100
377,1001477280274,100
378,1001477280280,100
379,1001477280286,100
380,1001477280292,100
381,1001477280298,100
382,1001477280304,100
383,1001477280310,100
384,1001477280316,100
385,1001477280322,100
386,1001477280328,100
387,1001477280334,100
388,1001477280340,100
389,1001477280346,100
390,1001477280352,100
391,1001477280358,100
392,1001477280364,100
393,1001477280370,100
394,1001477280376,100
395,1001477280382,100
396,1001477280388,100
397,1001477280394,100
398,1001477280400,100
399,1001477280412,100
400,1001477280418,100
401,1001477280424,100
402,1001477280430,100
403,1001477280436,100
404,1001477280442,100
405,1001477280448,100
406,1001477280454,100
407,1001477280460,100
408,1001477280466,100
409,1001477280472,100
410,1001477280478,100
411,1001477280484,100
412,1001477280490,100
413,1001477280496,100
414,1001477280502,100
415,1001477280508,100
416,1001477280514,100
417,1001477280520,100
418,1001477280526,100
419,1001477280532,100
420,1001477280538,100
421,1001477280544,100
422,1001477280550,100
423,1001477280556,100
424,1001477280562,100
425,1001477280568,100
426,1001477280574,100
427,1001477280580,100
428,1001477280586,100
429,1001477280622,100
430,1001477280628,100
431,1001477280634,100
432,1001477280640,100
433,1001477280646,100
434,1001477280652,100
435,1001477280658,100
436,1001477280664,100
437,1001477280670,100
438,1001477280676,100
439,1001477280682,100
440,1001477280688,100
441,1001477280694,100
442,1001477280700,100
443,1001477280706,100
444,1001477280712,100
445,1001477280718,100
446,1001477280724,100
447,1001477280730,100
448,1001477280736,100
449,1001477280742,100
450,1001477280748,100
451,1001477280754,100
452,1001477280760,100
453,1001477280766,100
454,1001477280772,100
455,1001477280778,100
456,1001477280784,100
457,1001477280790,100
458,1001477280796,100
459,1001477280844,100
460,1001477280850,100
461,1001477280856,100
462,1001477280862,100
463,1001477280868,100
464,1001477280874,100
465,1001477280880,100
466,1001477280886,100
467,1001477280892,100
468,1001477280898,100
469,1001477280904,100
470,1001477280910,100
471,1001477280916,100
472,1001477280922,100
473,1001477280928,100
474,1001477280934,100
475,1001477280940,100
476,1001477280946,100
477,1001477280952,100
478,1001477280958,100
479,1001477280964,100
480,1001477280970,100
481,1001477280976,100
482,1001477280982,100
483,1001477280988,100
484,1001477280994,100
485,1001477281000,100
486,1001477281006,100
487,1001477281012,100
488,1001477281018,100
489,1001477281042,100
490,1001477281048,100
491,1001477281054,100
492,1001477281060,100
493,1001477281066,100
494,1001477281072,100
495,1001477281078,100
496,1001477281084,100
497,1001477281090,100
498,1001477281096,100
499,1001477281102,100
500,1001477281108,100
501,1001477281114,100
502,1001477281120,100
503,1001477281126,100
504,1001477281132,100
505,1001477281138,100
506,1001477281144,100
507,1001477281150,100
508,1001477281156,100
509,1001477281162,100
510,1001477281168,100
511,1001477281174,100
512,1001477281180,100
513,1001477281186,100
514,1001477281192,100
515,1001477281198,100
516,1001477281204,100
517,1001477281210,100
518,1001477281216,100
519,1001477281228,100
520,1001477281234,100
521,1001477281240,100
522,1001477281246,100
523,1001477281252,100
524,1001477281258,100
525,1001477281264,100
526,1001477281270,100
527,1001477281276,100
528,1001477281282,100
529,1001477281288,100
530,1001477281294,100
531,1001477281300,100
532,1001477281306,100
533,1001477281312,100
534,1001477281318,100
535,1001477281324,100
536,1001477281330,100
537,1001477281336,100
538,1001477281342,100
539,1001477281348,100
540,1001477281354,100
541,1001477281360,100
542,1001477281366,100
543,1001477281372,100
544,1001477281378,100
545,1001477281384,100
546,1001477281390,100
547,1001477281396,100
548,1001477281402,100
549,1001477281420,100
550,1001477281426,100
551,1001477281432,100
552,1001477281438,100
553,1001477281444,100
554,1001477281450,100
555,1001477281456,100
556,1001477281462,100
557,1001477281468,100
558,1001477281474,100
559,1001477281480,100
560,1001477281486,100
561,1001477281492,100
562,1001477281498,100
563,1001477281504,100
564,1001477281510,100
565,1001477281516,100
566,1001477281522,100
567,1001477281528,100
568,1001477281534,100
569,1001477281540,100
570,1001477281546,100
571,1001477281552,100
572,1001477281558,100
573,1001477281564,100
574,1001477281570,100
575,1001477281576,100
576,1001477281582,100
577,1001477281588,100
578,1001477281594,100
579,1001477281612,100
580,1001477281618,100
581,1001477281624,100
582,1001477281630,100
583,1001477281636,100
584,1001477281642,100
585,1001477281648,100
586,1001477281654,100
587,1001477281660,100
588,1001477281666,100
589,1001477281672,100
590,1001477281678,100
591,1001477281684,100
592,1001477281690,100
593,1001477281696,100
594,1001477281702,100
595,1001477281708,100
596,1001477281714,100
597,1001477281720,100
598,1001477281726,100
599,1001477281732,100
600,1001477281738,100
601,1001477281744,100
602,1001477281750,100
603,1001477281756,100
604,1001477281762,100
605,1001477281768,100
606,1001477281774,100
607,1001477281780,100
608,1001477281786,100
609,101477147368,10
610,101477147374,10
611,101477147380,10
612,101477147386,10
613,101477147392,10
614,101477147398,10
615,101477147404,10
616,101477147410,10
617,101477147416,10
618,101477147422,10
619,101477147428,10
620,101477147434,10
621,101477147440,10
622,101477147446,10
623,101477147452,10
624,101477147458,10
625,101477147464,10
626,101477147470,10
627,101477147476,10
628,101477147482,10
629,101477147488,10
630,101477147494,10
631,101477147500,10
632,101477147506,10
633,101477147512,10
634,101477147518,10
635,101477147524,10
636,101477147530,10
637,101477147536,10
638,101477147542,10
639,101477147560,10
640,101477147566,10
641,101477147572,10
642,101477147578,10
643,101477147584,10
644,101477147590,10
645,101477147596,10
646,101477147602,10
647,101477147608,10
648,101477147614,10
649,101477147620,10
650,101477147626,10
651,101477147632,10
652,101477147638,10
653,101477147644,10
654,101477147650,10
655,101477147656,10
656,101477147662,10
657,101477147668,10
658,101477147674,10
659,101477147680,10
660,101477147686,10
661,101477147692,10
662,101477147698,10
663,101477147704,10
664,101477147710,10
665,101477147716,10
666,101477147722,10
667,101477147728,10
668,101477147734,10
669,101477147740,10
670,101477148976,10
671,101477148982,10
672,101477148988,10
673,101477148994,10
674,101477149000,10
675,101477149006,10
676,101477149012,10
677,101477149018,10
678,101477149024,10
679,101477149030,10
680,101477149036,10
681,101477149042,10
682,101477149048,10
683,101477149054,10
684,101477149060,10
685,101477149066,10
686,101477149072,10
687,101477149078,10
688,101477149084,10
689,101477149090,10
690,101477149096,10
691,101477149102,10
692,101477149108,10
693,101477149114,10
694,101477149120,10
695,101477149126,10
696,101477149132,10
697,101477149138,10
698,101477149144,10
699,101477149150,10
700,101477185408,10
701,101477185414,10
702,101477185420,10
703,101477185426,10
704,101477185432,10
705,101477185438,10
706,101477185444,10
707,101477185450,10
708,101477185456,10
709,101477185462,10
710,101477185468,10
711,101477185474,10
712,101477185480,10
713,101477185486,10
714,101477185492,10
715,101477185498,10
716,101477185504,10
717,101477185510,10
718,101477185516,10
719,101477185522,10
720,101477185528,10
721,101477185534,10
722,101477185540,10
723,101477185546,10
724,101477185552,10
725,101477185558,10
726,101477185564,10
727,101477185570,10
728,101477185576,10
729,101477185582,10
730,101477186218,10
731,101477186224,10
732,101477186230,10
733,101477186236,10
734,101477186242,10
735,101477186248,10
736,101477186254,10
737,101477186260,10
738,101477186266,10
739,101477186272,10
740,101477186278,10
741,101477186284,10
742,101477186290,10
743,101477186296,10
744,101477186302,10
745,101477186308,10
746,101477186314,10
747,101477186320,10
748,101477186326,10
749,101477186332,10
750,101477186338,10
751,101477186344,10
752,101477186350,10
753,101477186356,10
754,101477186362,10
755,101477186368,10
756,101477186374,10
757,101477186380,10
758,101477186386,10
759,101477186392,10
760,101477186416,10
761,101477186422,10
762,101477186428,10
763,101477186434,10
764,101477186440,10
765,101477186446,10
766,101477186452,10
767,101477186458,10
768,101477186464,10
769,101477186470,10
770,101477186476,10
771,101477186482,10
772,101477186488,10
773,101477186494,10
774,101477186500,10
775,101477186506,10
776,101477186512,10
777,101477186518,10
778,101477186524,10
779,101477186530,10
780,101477186536,10
781,101477186542,10
782,101477186548,10
783,101477186554,10
784,101477186560,10
785,101477186566,10
786,101477186572,10
787,101477186578,10
788,101477186584,10
789,101477186590,10
790,101477186650,10
791,101477186656,10
792,101477186662,10
793,101477186668,10
794,101477186674,10
795,101477186680,10
796,101477186686,10
797,101477186692,10
798,101477186698,10
799,101477186704,10
800,101477186710,10
801,101477186716,10
802,101477186722,10
803,101477186728,10
804,101477186734,10
805,101477186740,10
806,101477186746,10
807,101477186752,10
808,101477186758,10
809,101477186764,10
810,101477186770,10
811,101477186776,10
812,101477186782,10
813,101477186788,10
814,101477186794,10
815,101477186800,10
816,101477186806,10
817,101477186812,10
818,101477186818,10
819,101477186824,10
820,101477186854,10
821,101477186860,10
822,101477186866,10
823,101477186872,10
824,101477186878,10
825,101477186884,10
826,101477186890,10
827,101477186896,10
828,101477186902,10
829,101477186908,10
830,101477186914,10
831,101477186920,10
832,101477186926,10
833,101477186932,10
834,101477186938,10
835,101477186944,10
836,101477186950,10
837,101477186956,10
838,101477186962,10
839,101477186968,10
840,101477186974,10
841,101477186980,10
842,101477186986,10
843,101477186992,10
844,101477186998,10
845,101477187004,10
846,101477187010,10
847,101477187016,10
848,101477187022,10
849,101477187028,10
850,101477187040,10
851,101477187046,10
852,101477187052,10
853,101477187058,10
854,101477187064,10
855,101477187070,10
856,101477187076,10
857,101477187082,10
858,101477187088,10
859,101477187094,10
860,101477187100,10
861,101477187106,10
862,101477187112,10
863,101477187118,10
864,101477187124,10
865,101477187130,10
866,101477187136,10
867,101477187142,10
868,101477187148,10
869,101477187154,10
870,101477187160,10
871,101477187166,10
872,101477187172,10
873,101477187178,10
874,101477187184,10
875,101477187190,10
876,101477187196,10
877,101477187202,10
878,101477187208,10
879,101477187214,10
880,101477187226,10
881,101477187232,10
882,101477187238,10
883,101477187244,10
884,101477187250,10
885,101477187256,10
886,101477187262,10
887,101477187268,10
888,101477187274,10
889,101477187280,10
890,101477187286,10
891,101477187292,10
892,101477187298,10
893,101477187304,10
894,101477187310,10
895,101477187316,10
896,101477187322,10
897,101477187328,10
898,101477187334,10
899,101477187340,10
900,101477187346,10
901,101477187352,10
902,101477187358,10
903,101477187364,10
904,101477187370,10
905,101477187376,10
906,101477187382,10
907,101477187388,10
908,101477187394,10
909,101477187400,10
910,101477287774,10
911,101477287780,10
912,101477287786,10
913,101477287792,10
914,101477287798,10
915,101477287804,10
916,101477287810,10
917,101477287816,10
918,101477287822,10
919,101477287828,10
920,101477287834,10
921,101477287840,10
922,101477287846,10
923,101477287852,10
924,101477287858,10
925,101477287864,10
926,101477287870,10
927,101477287876,10
928,101477287882,10
929,101477287888,10
930,101477287894,10
931,101477287900,10
932,101477287906,10
933,101477287912,10
934,101477287918,10
935,101477287924,10
936,101477287930,10
937,101477287936,10
938,101477287942,10
939,101477287948,10
940,101477287960,10
941,101477287966,10
942,101477287972,10
